$GPGGA,080104.555,4804.656727,N,00047.507355,W,1,04,3.8,88.27,M,,,,,0000*3E
$GPGGA,112608.273,4803.935279,N,00048.409379,W,1,04,3.2,103.49,M,,,,,0000*01
$GPGGA,152344.57,4803.942780,N,00048.415680,W,1,04,3.3,103.49,M,,,,,0000*30
$GPGGA,184416.383,4804.685039,N,00048.046199,W,1,04,3.5,98.74,M,,,,,0000*31
$GPGGA,200900.906,4804.715760,N,00048.021839,W,1,04,2.8,98.53,M,,,,,0000*3B
$GPGGA,233037.552,4804.656727,N,00047.507355,W,1,04,2.9,88.27,M,,,,,0000*32
$GPGGA,080037.625,4804.658099,N,00047.504220,W,1,04,3.3,88.27,M,,,,,0000*3D
$GPGGA,111450.615,4804.656727,N,00047.507355,W,1,04,3.2,88.27,M,,,,,0000*3E
$GPGGA,155115.427,4804.657019,N,00047.514539,W,1,04,3.5,88.27,M,,,,,0000*3B
$GPGGA,200123.732,4804.401179,N,00047.945580,W,1,04,3.4,97.69,M,,,,,0000*33
$GPGGA,232223.978,4804.401179,N,00047.945580,W,1,04,2.9,97.69,M,,,,,0000*3D
$GPGGA,091145.907,4804.657019,N,00047.514539,W,1,04,3.4,88.27,M,,,,,0000*39
$GPGGA,153314.607,4804.658099,N,00047.504220,W,1,04,3.4,88.27,M,,,,,0000*36
$GPGGA,232759.388,4804.656727,N,00047.507355,W,1,04,2.9,88.27,M,,,,,0000*3D
$GPGGA,080321.842,4804.656727,N,00047.507355,W,1,04,3.8,88.27,M,,,,,0000*30
$GPGGA,113106.722,4803.942780,N,00048.415680,W,1,04,3.3,103.49,M,,,,,0000*04
$GPGGA,150638.351,4803.925859,N,00048.413699,W,1,04,2.8,103.49,M,,,,,0000*07
$GPGGA,184820.844,4804.685039,N,00048.046199,W,1,04,3.3,98.74,M,,,,,0000*3E
$GPGGA,202957.821,4804.657019,N,00047.514539,W,1,04,3.6,88.27,M,,,,,0000*3D
$GPGGA,232422.920,4804.656727,N,00047.507355,W,1,04,3.5,88.27,M,,,,,0000*37
$GPGGA,081031.116,4804.656727,N,00047.507355,W,1,04,3.8,88.27,M,,,,,0000*3B
$GPGGA,112036.186,4803.935279,N,00048.409379,W,1,04,3.5,103.49,M,,,,,0000*04
$GPGGA,150239.256,4803.942780,N,00048.415680,W,1,04,3.3,103.49,M,,,,,0000*0A
$GPGGA,184716.134,4804.303859,N,00046.366379,W,1,04,3.2,50.01,M,,,,,0000*3B
$GPGGA,202732.420,4804.657019,N,00047.514539,W,1,04,3.1,88.27,M,,,,,0000*3A
$GPGGA,235027.406,4804.656727,N,00047.507355,W,1,04,3.3,88.27,M,,,,,0000*3E
$GPGGA,080203.607,4804.656727,N,00047.507355,W,1,04,2.9,88.27,M,,,,,0000*3E
$GPGGA,113500.613,4803.940679,N,00048.409680,W,1,04,3,103.49,M,,,,,0000*10
